exercise_id,nome_exercicio,foco_muscular,equipamento,dificuldade,risco_limitacao,loc_0_pc,loc_1_halteres,loc_2_maquina
62,Abdominal Máquina,Core,Máquina,Iniciante,Nenhum,0,0,1
63,Rotação Russa,Core,Halteres,Intermediário,Lombar,0,1,1
64,Abdominal Infra (Deitado),Core,Peso Corporal,Iniciante,Lombar,1,1,1
65,Prancha Lateral,Core,Peso Corporal,Iniciante,Nenhum,1,1,1
66,Abdominal Bicicleta,Core,Peso Corporal,Intermediário,Lombar,1,1,1
67,Esteira (Corrida),Cardio,Máquina,Intermediário,Joelho,0,0,1
68,Esteira (Caminhada),Cardio,Máquina,Iniciante,Nenhum,0,0,1
69,Bicicleta Ergométrica,Cardio,Máquina,Iniciante,Nenhum,0,0,1
70,Elíptico (Transport),Cardio,Máquina,Iniciante,Nenhum,0,0,1
71,Pular Corda,Cardio,Peso Corporal,Intermediário,Joelho,1,1,1
72,Burpee,Cardio,Peso Corporal,Avançado,Lombar/Joelho,1,1,1
73,Polichinelo,Cardio,Peso Corporal,Iniciante,Joelho,1,1,1
74,Agachamento com Salto,Cardio,Peso Corporal,Intermediário,Joelho,1,1,1
75,Escada (Stair Climber),Cardio,Máquina,Intermediário,Joelho,0,0,1
