exercise_id,nome_exercicio,foco_muscular,equipamento,dificuldade,risco_limitacao,loc_0_pc,loc_1_halteres,loc_2_maquina
62,Abdominal Máquina,Core,Máquina,Iniciante,Nenhum,0,0,1
63,Rotação Russa,Core,Halteres,Intermediário,Lombar,0,1,1
64,Abdominal Infra (Deitado),Core,Peso Corporal,Iniciante,Lombar,1,1,1
65,Prancha Lateral,Core,Peso Corporal,Iniciante,Nenhum,1,1,1
66,Abdominal Bicicleta,Core,Peso Corporal,Intermediário,Lombar,1,1,1
67,Esteira (Corrida),Cardio,Máquina,Intermediário,Joelho,0,0,1
68,Esteira (Caminhada),Cardio,Máquina,Iniciante,Nenhum,0,0,1
69,Bicicleta Ergométrica,Cardio,Máquina,Iniciante,Nenhum,0,0,1
70,Elíptico (Transport),Cardio,Máquina,Iniciante,Nenhum,0,0,1
71,Pular Corda,Cardio,Peso Corporal,Intermediário,Joelho,1,1,1
72,Burpee,Cardio,Peso Corporal,Avançado,Lombar/Joelho,1,1,1
73,Polichinelo,Cardio,Peso Corporal,Iniciante,Joelho,1,1,1
74,Agachamento com Salto,Cardio,Peso Corporal,Intermediário,Joelho,1,1,1
75,Escada (Stair Climber),Cardio,Máquina,Intermediário,Joelho,0,0,1
76,Supino Inclinado (Barra),Peito,Barra,Intermediário,Ombro,0,1,0
77,Supino Declinado (Barra),Peito,Barra,Intermediário,Ombro,0,1,0
78,Supino com Halteres no Banco Reto,Peito,Halteres,Intermediário,Ombro,0,1,0
79,Supino com Halteres no Banco Inclinado,Peito,Halteres,Intermediário,Ombro,0,1,0
80,Crucifixo na Máquina,Peito,Máquina,Iniciante,Ombro,0,0,1
81,Crucifixo na Polia Alta,Peito,Cabo/Polia,Intermediário,Ombro,0,0,1
82,Crucifixo no Banco Inclinado (Halteres),Peito,Halteres,Intermediário,Ombro,0,1,0
83,Flexão com Apoio de Joelhos,Peito,Peso Corporal,Iniciante,Nenhuma,1,0,0
84,Flexão com Batida de Mão,Peito,Peso Corporal,Avançado,Nenhuma,1,0,0
85,Flexão em Barra Paralela (Peito),Peito,Barra Paralela,Avançado,Nenhuma,0,1,0
86,Barra Fixa Pegada Pronada,Costas,Barra Fixa,Avançado,Nenhuma,0,1,0
87,Barra Fixa Pegada Supinada,Costas,Barra Fixa,Avançado,Nenhuma,0,1,0
88,Puxada na Frente na Polia Aberta,Costas,Máquina,Intermediário,Nenhuma,0,0,1
89,Puxada na Frente na Polia Fechada,Costas,Máquina,Intermediário,Nenhuma,0,0,1
90,Remada Curvada (Barra),Costas,Barra,Intermediário,Lombar,0,1,0
91,Remada Curvada (Halteres),Costas,Halteres,Intermediário,Lombar,0,1,0
92,Remada Unilateral com Halter,Costas,Halteres,Iniciante,Nenhuma,0,1,0
93,Remada Sentado na Máquina,Costas,Máquina,Iniciante,Nenhuma,0,0,1
94,Pulldown na Máquina,Costas,Máquina,Iniciante,Nenhuma,0,0,1
95,Pullover com Halter,Costas,Halteres,Intermediário,Nenhuma,0,1,0
96,Agachamento Livre (Barra nas Costas),Pernas,Barra,Avançado,Joelho,0,1,0
97,Agachamento no Smith,Pernas,Máquina,Intermediário,Joelho,0,0,1
98,Agachamento Frontal,Pernas,Barra,Avançado,Joelho,0,1,0
99,Leg Press 45°,Pernas,Máquina,Intermediário,Joelho,0,0,1
100,Cadeira Extensora,Pernas,Máquina,Iniciante,Joelho,0,0,1
101,Mesa Flexora,Pernas,Máquina,Iniciante,Nenhuma,0,0,1
102,Avanço com Halteres,Pernas,Halteres,Intermediário,Nenhuma,0,1,0
103,Afundo Búlgaro,Pernas,Halteres,Avançado,Joelho,0,1,0
104,Agachamento Sumô com Halter,Pernas,Halteres,Intermediário,Joelho,0,1,0
105,Elevação de Quadril (Glúteo) com Peso Corporal,Pernas,Peso Corporal,Iniciante,Nenhuma,1,0,0
106,Elevação de Quadril com Barra,Pernas,Barra,Intermediário,Nenhuma,0,1,0
107,Panturrilha em Pé (Peso Corporal),Pernas,Peso Corporal,Iniciante,Nenhuma,1,0,0
108,Panturrilha em Pé com Halteres,Pernas,Halteres,Intermediário,Nenhuma,0,1,0
109,Panturrilha Sentado na Máquina,Pernas,Máquina,Intermediário,Nenhuma,0,0,1
110,Desenvolvimento com Barra em Pé,Ombros,Barra,Intermediário,Ombro,0,1,0
111,Desenvolvimento com Halteres Sentado,Ombros,Halteres,Intermediário,Ombro,0,1,0
112,Desenvolvimento na Máquina,Ombros,Máquina,Iniciante,Ombro,0,0,1
113,Elevação Lateral com Halteres,Ombros,Halteres,Iniciante,Ombro,0,1,0
114,Elevação Frontal com Halteres,Ombros,Halteres,Iniciante,Ombro,0,1,0
115,Elevação Lateral na Polia,Ombros,Cabo/Polia,Intermediário,Ombro,0,0,1
116,Remada Alta com Barra,Ombros,Barra,Intermediário,Ombro,0,1,0
117,Crucifixo Invertido na Máquina,Ombros,Máquina,Iniciante,Ombro,0,0,1
118,Crucifixo Invertido com Halteres,Ombros,Halteres,Intermediário,Ombro,0,1,0
119,Face Pull na Polia,Ombros,Cabo/Polia,Intermediário,Ombro,0,0,1
120,Rosca Direta com Barra,Braços,Barra,Iniciante,Nenhuma,0,1,0
121,Rosca Direta com Halteres,Braços,Halteres,Iniciante,Nenhuma,0,1,0
122,Rosca Martelo com Halteres,Braços,Halteres,Intermediário,Nenhuma,0,1,0
123,Rosca Concentrada,Braços,Halteres,Intermediário,Nenhuma,0,1,0
124,Rosca Scott na Máquina,Braços,Máquina,Iniciante,Nenhuma,0,0,1
125,Tríceps Pulley na Polia Alta,Braços,Cabo/Polia,Iniciante,Nenhuma,0,0,1
126,Tríceps Testa com Barra,Braços,Barra,Intermediário,Nenhuma,0,1,0
127,Tríceps Coice com Halter,Braços,Halteres,Intermediário,Nenhuma,0,1,0
128,Mergulho em Banco (Tríceps),Braços,Peso Corporal,Iniciante,Nenhuma,1,0,0
129,Tríceps Francês com Halter,Braços,Halteres,Intermediário,Nenhuma,0,1,0
130,Prancha Isométrica,Core,Peso Corporal,Iniciante,Nenhuma,1,0,0
131,Prancha Lateral,Core,Peso Corporal,Intermediário,Nenhuma,1,0,0
132,Abdominal Crunch no Solo,Core,Peso Corporal,Iniciante,Nenhuma,1,0,0
133,Abdominal Crunch na Máquina,Core,Máquina,Iniciante,Nenhuma,0,0,1
134,Abdominal Infra com Elevação de Pernas,Core,Peso Corporal,Intermediário,Nenhuma,1,0,0
135,Abdominal na Polia Alta (Crunch na Polia),Core,Cabo/Polia,Intermediário,Nenhuma,0,0,1
136,Prancha com Elevação Alternada de Braço,Core,Peso Corporal,Intermediário,Nenhuma,1,0,0
137,Prancha com Elevação de Pernas,Core,Peso Corporal,Intermediário,Nenhuma,1,0,0
138,Abdominal Bicicleta,Core,Peso Corporal,Iniciante,Nenhuma,1,0,0
139,Elevação de Pernas na Barra Fixa,Core,Barra Fixa,Avançado,Nenhuma,0,1,0
140,Corrida na Esteira,Cardio,Máquina,Intermediário,Nenhuma,0,0,1
141,Caminhada Rápida na Esteira,Cardio,Máquina,Iniciante,Nenhuma,0,0,1
142,Bicicleta Ergométrica Sentado,Cardio,Máquina,Iniciante,Nenhuma,0,0,1
143,Bicicleta Ergométrica em Pé (Spinning),Cardio,Máquina,Intermediário,Nenhuma,0,0,1
144,Elíptico (Transport),Cardio,Máquina,Iniciante,Nenhuma,0,0,1
145,Escada (Stair Climber),Cardio,Máquina,Intermediário,Nenhuma,0,0,1
146,Remo Ergométrico,Cardio,Máquina,Intermediário,Nenhuma,0,0,1
147,Polichinelo,Cardio,Peso Corporal,Iniciante,Nenhuma,1,0,0
148,Burpee,Cardio,Peso Corporal,Avançado,Nenhuma,1,0,0
149,Corrida ao Ar Livre,Cardio,Sem Equipamento,Intermediário,Nenhuma,1,0,0
150,Corda de Pular,Cardio,Corda,Intermediário,Nenhuma,0,1,0
151,Superman no Chão,Costas,Peso Corporal,Iniciante,Nenhuma,1,0,0
152,Bird-Dog,Costas,Peso Corporal,Iniciante,Nenhuma,1,0,0
153,Prancha com Alcance (Reach-Out),Costas,Peso Corporal,Intermediário,Nenhuma,1,0,0
154,Extensão Lombar no Solo,Costas,Peso Corporal,Iniciante,Lombar,1,0,0
155,Prone Cobra,Costas,Peso Corporal,Intermediário,Nenhuma,1,0,0
156,Y-Raise no Chão,Costas,Peso Corporal,Intermediário,Nenhuma,1,0,0
157,W-Raise no Chão,Costas,Peso Corporal,Intermediário,Nenhuma,1,0,0
158,Remada Isométrica com Toalha na Porta,Costas,Peso Corporal,Intermediário,Nenhuma,1,0,0
159,Remada Australiana Sob Mesa,Costas,Peso Corporal,Intermediário,Nenhuma,1,0,0
160,Remada com Elástico Baixo,Costas,Elástico,Iniciante,Nenhuma,0,1,0
161,Pulldown com Elástico,Costas,Elástico,Intermediário,Nenhuma,0,1,0
162,Face Pull com Elástico,Costas,Elástico,Intermediário,Nenhuma,0,1,0
163,Remada Cavalo com Halter,Costas,Halteres,Intermediário,Nenhuma,0,1,0
164,Remada Unilateral em Banco Inclinado,Costas,Halteres,Intermediário,Nenhuma,0,1,0
165,Pullover com Halter no Banco Inclinado,Costas,Halteres,Intermediário,Nenhuma,0,1,0
166,Pulldown Neutro na Polia,Costas,Cabo/Polia,Intermediário,Nenhuma,0,0,1
167,Remada Sentado com Triângulo na Polia,Costas,Cabo/Polia,Intermediário,Nenhuma,0,0,1
168,Remada Máquina Hammer,Costas,Máquina,Intermediário,Nenhuma,0,0,1
169,Flexão Arqueiro,Peito,Peso Corporal,Avançado,Nenhuma,1,0,0
170,Flexão com Pés Elevados em Cadeira,Peito,Peso Corporal,Intermediário,Nenhuma,1,0,0
171,Flexão Decline Pike,Peito,Peso Corporal,Avançado,Nenhuma,1,0,0
172,Supino com Pegada Fechada (Barra),Peito,Barra,Intermediário,Ombro,0,1,0
173,Crucifixo em Cabos com Banco Inclinado,Peito,Cabo/Polia,Intermediário,Ombro,0,0,1
174,Flexão em Paralletes,Peito,Peso Corporal,Intermediário,Nenhuma,1,0,0
175,Agachamento Goblet com Halter,Pernas,Halteres,Iniciante,Joelho,0,1,0
176,Agachamento com Salto (Plyo Squat),Pernas,Peso Corporal,Intermediário,Joelho,1,0,0
177,Pistol Squat Assistido,Pernas,Peso Corporal,Avançado,Joelho,1,0,0
178,Glute Bridge Unilateral,Pernas,Peso Corporal,Intermediário,Lombar,1,0,0
179,Hip Thrust na Máquina,Pernas,Máquina,Intermediário,Lombar,0,0,1
180,Stiff com Halteres,Pernas,Halteres,Intermediário,Lombar,0,1,0
181,Levantamento Terra Romeno com Barra,Pernas,Barra,Avançado,Lombar,0,1,0
182,Avanço Caminhando com Halteres,Pernas,Halteres,Intermediário,Joelho,0,1,0
183,Cadeira Abdutora,Pernas,Máquina,Iniciante,Nenhuma,0,0,1
184,Cadeira Adutora,Pernas,Máquina,Iniciante,Nenhuma,0,0,1
185,Agachamento Sumo com Barra,Pernas,Barra,Avançado,"Joelho,Lombar",0,1,0
186,Desenvolvimento Arnold com Halteres,Ombros,Halteres,Intermediário,Ombro,0,1,0
187,Elevação Lateral Inclinada,Ombros,Halteres,Intermediário,Ombro,0,1,0
188,Elevação Frontal com Barra,Ombros,Barra,Intermediário,Ombro,0,1,0
189,Face Pull com Corda na Polia,Ombros,Cabo/Polia,Intermediário,Ombro,0,0,1
190,Desenvolvimento Militar em Pé (Barra),Ombros,Barra,Avançado,Ombro,0,1,0
191,Rosca 21 com Barra,Braços,Barra,Intermediário,Nenhuma,0,1,0
192,Rosca Alternada com Rotação,Braços,Halteres,Intermediário,Nenhuma,0,1,0
193,Rosca Inversa com Barra,Braços,Barra,Intermediário,Nenhuma,0,1,0
194,Tríceps na Barra Paralela Assistido,Braços,Barra Paralela,Intermediário,Nenhuma,0,1,0
195,Tríceps na Corda na Polia,Braços,Cabo/Polia,Intermediário,Nenhuma,0,0,1
196,Kickback com Polia Baixa,Braços,Cabo/Polia,Intermediário,Nenhuma,0,0,1
197,Prancha com Toque no Ombro,Core,Peso Corporal,Intermediário,Nenhuma,1,0,0
198,Dead Bug,Core,Peso Corporal,Iniciante,Nenhuma,1,0,0
199,Russian Twist com Halter,Core,Halteres,Intermediário,Nenhuma,0,1,0
200,Abdominal na Roda (Ab Wheel),Core,Roda Abdominal,Avançado,Lombar,0,1,0
201,Pallof Press na Polia,Core,Cabo/Polia,Intermediário,Lombar,0,0,1
202,Prancha Lateral com Elevação de Quadril,Core,Peso Corporal,Intermediário,Nenhuma,1,0,0
203,Corrida Estacionária,Cardio,Peso Corporal,Iniciante,Nenhuma,1,0,0
204,Mountain Climbers,Cardio,Peso Corporal,Intermediário,Nenhuma,1,0,0
205,Skater Jump,Cardio,Peso Corporal,Intermediário,Joelho,1,0,0
206,High Knees,Cardio,Peso Corporal,Intermediário,Joelho,1,0,0
207,Jump Squat,Cardio,Peso Corporal,Intermediário,Joelho,1,0,0
208,Farmer Walk com Halteres,Cardio,Halteres,Intermediário,Lombar,0,1,0
